country_name,iso3_code,region_simplified,capital,population,population_density,gender_distribution,average_monthly_salary,median_monthly_salary,literacy_rate,official_languages_top3_with_pct,religions_top3_with_pct,biggest_trading_partner_export,biggest_trading_partner_import,english_literacy_rate,life_expectancy_male,life_expectancy_female
"Kazakhstan",KAZ,"Europe & Central Asia","Astana",20843754.0,7.72,"male 48.7%; female 51.3%",689.19,520.00,99.73,"Kazakh and trilingual; Russian 94.4%","Muslim 70.2%; Christian 26.2%; atheist 2.8%","Italy (17.9%)","Russia (38.9%)",15.42,70.266,78.515
"Kuwait",KWT,"Middle East & North Africa","Kuwait City",4865298.0,273.02,"male 61.1%; female 38.9%",3231.39,2100.00,96.46,"Arabic; English","Muslim 74.6%; Christian 18.2%; other and unspecified 7.2%","South Korea (18.3%)","China (13.5%)",60.0,83.8,85.4
"Kyrgyz Republic",KGZ,"Europe & Central Asia","Bishkek",7343064.0,38.29,"male 49.4%; female 50.6%",380.00,310.00,99.24,"Kyrgyz 71.4%; Uzbek 14.4%; Russian 9%","Muslim 90%; Christian 7%; other 3%","Russia (26.3%)","China (42.1%)",12.0,68.4,76.6
"Latvia",LVA,"Europe & Central Asia","Riga",1847785.0,29.69,"male 46.4%; female 53.6%",3725.75,988.50,99.90,"Latvian 56.3%; Russian 33.8%; unspecified 9.4%","Lutheran 36.2%; unspecified/none 23.5%; Roman Catholic 19.5%","Lithuania (15.8%)","Lithuania (17.6%)",45.89,71.6,81.5
"Lebanon",LBN,"Middle East & North Africa","Beirut",5849421.0,571.79,"male 48.7%; female 51.3%",450.00,350.00,92.01,"Arabic; French; English","Muslim 61.1%; Christian 33.7%; Druze 5.2%","China (13%)","China (10.2%)",39.99,75.876,79.857
"Libya",LBY,"Middle East & North Africa","Tripoli",7458555.0,4.24,"male 50.8%; female 49.2%",320.00,260.00,60.16,"Arabic; Italian; English ; Berber","Muslim 96.6%; Christian 2.7%; Buddhist 0.3%","Italy (19%)","China (13.5%)",10.0,69.625,72.679
"Lithuania",LTU,"Europe & Central Asia","Vilnius",2888774.0,46.15,"male 47.2%; female 52.8%",4842.67,1128.00,99.82,"Lithuanian 82%; Russian 8%; Polish 5.6%","Roman Catholic 77.2%; unspecified 10.1%; none 6.1%","Russia (15%)","Russia (13%)",31.09,73.0,81.6
"Malta",MLT,"Middle East & North Africa","Valletta",579704.0,1811.58,"male 51.9%; female 48.1%",1827.44,1605.60,93.31,"Maltese 90.1%; English 6%; multilingual 3%","Roman Catholic 90%; Protestant 1%; Muslim 1%","Germany (17.3%)","Italy (23%)",78.43,80.5,84.8
"Moldova",MDA,"Europe & Central Asia","Chisinau",2360527.0,71.68,"male 46.0%; female 54.0%",786.12,580.00,99.36,"Moldovan/Romanian 80.2%; Russian 9.7%; Gagauz 4.2%","Orthodox 90.1%; other Christian 2.6%; other 0.1%","Romania (24.6%)","Romania (15.5%)",18.0,66.699,75.672
"Morocco",MAR,"Middle East & North Africa","Rabat",38430770.0,86.11,"male 50.4%; female 49.6%",472.83,380.00,64.26,"Arabic; Berber languages , Tachelhit, Tarifit; French","Muslim 99%; Christian 0.8%; Jewish 0.1%","Spain (23.2%)","Spain (16.7%)",18.43,73.347,77.777
"Norway",NOR,"Europe & Central Asia","Oslo",5610870.0,15.40,"male 50.4%; female 49.6%",6121.83,2332.80,99.0,"Bokmal Norwegian; Nynorsk Norwegian; small Sami- and Finnish-speaking minorities","Church of Norway 70.6%; unspecified 17%; other Christian 3.7%","UK (21.1%)","Sweden (11.4%)",87.6,81.6,84.8
"Oman",OMN,"Middle East & North Africa","Muscat",5494691.0,17.75,"male 65.0%; female 35.0%",2617.16,1900.00,97.34,"Arabic; English; Baluchi","Muslim 85.9%; Christian 6.5%; Hindu 5.5%","China (43.7%)","UAE (35.5%)",42.0,78.719,82.046
"Pakistan",PAK,"Middle East & North Africa","Islamabad",255219554.0,331.08,"male 50.7%; female 49.3%",188.26,150.00,58.86,"Punjabi 48%; Sindhi 12%; Saraiki 10%","Muslim 96.4%; other 3.6%","US (17.7%)","China (27.4%)",48.91,65.462,69.8
"Poland",POL,"Europe & Central Asia","Warsaw",36435861.0,118.97,"male 48.4%; female 51.6%",4089.50,1165.20,98.74,"Polish 98.2%; Silesian 1.4%; unspecified 1.3%","Catholic 85.9%; unspecified 12.1%; Orthodox 1.3%","Germany (27.4%)","Germany (27.9%)",47.32,74.8,82.2
"Qatar",QAT,"Middle East & North Africa","Doha",2972215.0,258.68,"male 71.1%; female 28.9%",4081.43,2200.80,97.75,"Arabic; English","Muslim 67.7%; Christian 13.8%; Hindu 13.8%","Japan (17.3%)","China (10.9%)",58.0,81.778,83.5
"Romania",ROU,"Europe & Central Asia","Bucharest",19020271.0,82.67,"male 48.4%; female 51.6%",1016.03,895.50,99.16,"Romanian 85.4%; Hungarian 6.3%; unspecified 6.1%","Eastern Orthodox 81.9%; Protestant 6.4%; unspecified 6.3%","Germany (23%)","Germany (20%)",30.98,72.8,80.3
"Russian Federation",RUS,"Europe & Central Asia","Moscow",143513328.0,8.76,"male 46.4%; female 53.6%",1173.00,820.00,99.93,"Russian 85.7%; Tatar 3.2%; Chechen 1%","Russian Orthodox 41%; non-practicing 25%; Muslim 6.5%","China (34.6%)","China (56.6%)",30.0,68.26,78.88
"Saudi Arabia",SAU,"Middle East & North Africa","Riyadh",36973555.0,17.20,"male 60.4%; female 39.6%",1895.26,1400.00,97.93,"Arabic","Muslim; other","Japan (12.2%)","China (15.4%)",35.0,77.329,81.33
"Slovak Republic",SVK,"Europe & Central Asia","Bratislava",5413813.0,112.60,"male 48.8%; female 51.2%",1550.00,1220.00,99.60,"Slovak 81.8%; Hungarian 8.5%; Roma 1.8%","Roman Catholic 55.8%; none 23.8%; Evangelical 5.3%","Germany (22.2%)","Germany (16.1%)",60.6,75.2,81.7
"Sweden",SWE,"Europe & Central Asia","Stockholm",10596620.0,26.02,"male 50.4%; female 49.6%",5120.25,1668.00,99.0,"Swedish","Church of Sweden 60.2%; none or unspecified 31.3%; other 8.5%","Germany (11%)","Germany (18.7%)",89.0,82.6,85.6
"Syrian Arab Republic",SYR,"Middle East & North Africa","Damascus",25620427.0,139.52,"male 50.1%; female 49.9%",120.00,90.00,94.42,"Arabic; Kurdish; Armenian","Muslim 87%; Christian 10%; Druze 3%","Turkey (22.5%)","Turkey (28.1%)",15.0,70.21,74.916
"Tajikistan",TJK,"Europe & Central Asia","Dushanbe",10786734.0,77.72,"male 49.2%; female 50.8%",220.00,180.00,99.73,"Tajik 84.4%; Uzbek 11.9%; other 2.4%","Muslim  other 2%","Turkey (27.5%)","Russia (38%)",10.0,69.682,74.141
"Tunisia",TUN,"Middle East & North Africa","Tunis",12348573.0,79.48,"male 49.4%; female 50.6%",326.26,280.00,86.25,"Arabic; French; Berber","Muslim 99.1%; other 1%","France (32.1%)","Italy (15.8%)",10.0,74.1,79.332
"Turkmenistan",TKM,"Europe & Central Asia","Ashgabat",7618847.0,16.21,"male 49.1%; female 50.9%",280.00,220.00,99.90,"Turkmen 72%; Russian 12%; Uzbek 9%","Muslim 89%; Eastern Orthodox 9%; unknown 2%","China (83.7%)","Turkey (24.2%)",2.89,66.999,73.006
"Ukraine",UKR,"Europe & Central Asia","Kiev",38980376.0,67.28,"male 46.5%; female 53.5%",510.94,410.00,99.43,"Ukrainian 67.5%; Russian 29.6%; other 2.9%","Orthodox  and the Ukrainian Orthodox - Moscow Patriarchate; Ukrainian Greek Catholic; Roman Catholic","Russia (9.2%)","Russia (14.5%)",51.0,69.786,79.393
"United Arab Emirates",ARE,"Middle East & North Africa","Abu Dhabi",11513149.0,162.11,"male 63.8%; female 36.2%",2847.39,2295.60,98.81,"Arabic; English; Hindi","Muslim 76%; other 15%; Christian 9%","India (10.1%)","China (8.5%)",75.0,82.168,84.319
"Uzbekistan",UZB,"Europe & Central Asia","Tashkent",37053428.0,84.09,"male 50.5%; female 49.5%",559.05,413.40,100.0,"Uzbek 74.3%; Russian 14.2%; other 7.1%","Muslim 88%; Eastern Orthodox 9%; other 3%","Switzerland (38.7%)","China (23.7%)",14.0,69.564,75.547
"West Bank and Gaza",PSE,"Middle East & North Africa","Ramallah",5413596.0,898.52,"male 49.6%; female 50.4%",420.00,350.00,97.94,"Arabic 99%; English; Hebrew","Muslim 98%; Christian 1%","Israel (82.5%)","Israel (53.8%)",32.0,65.223,74.252
"Yemen, Rep.",YEM,"Middle East & North Africa","Sana'a",41773878.0,79.12,"male 50.7%; female 49.3%",110.00,85.00,37.09,"Arabic 99%","Muslim 99.1%; Jewish, Christian, Hindu 0.9%","China (44.1%)","China (24.2%)",9.0,67.366,71.549
"Philippines",PHL,"East Asia & Pacific","Manila",117337368.0,391.12,"male 50.2%; female 49.8%",380.00,310.00,96.30,"Tagalog 28%; English 52%; Cebuano 19%","Roman Catholic 78.8%; Protestant 8.2%; Muslim 6.4%","US (15.5%)","China (28.2%)",58.0,67.4,73.6
"Myanmar",MMR,"East Asia & Pacific","Naypyidaw",54500000.0,82.85,"male 48.2%; female 51.8%",180.00,140.00,89.10,"Burmese 67%; Shan 3.2%; Karen 2.6%","Buddhist 87.9%; Christian 6.2%; Muslim 4.3%","China (32.1%)","China (35.6%)",16.0,63.8,69.9
"Nepal",NPL,"South Asia","Kathmandu",30896000.0,209.89,"male 48.9%; female 51.1%",200.00,160.00,76.30,"Nepali 44.6%; Maithili 11.7%; Bhojpuri 6.0%","Hindu 81.2%; Buddhist 8.2%; Muslim 5.1%","India (71%)","India (63%)",35.0,68.8,72.1
"Bangladesh",BGD,"South Asia","Dhaka",173000000.0,1301.20,"male 50.1%; female 49.9%",230.00,180.00,74.70,"Bengali 98%; Chittagonian; Sylheti","Muslim 91.0%; Hindu 7.9%; Buddhist 0.6%","US (18.2%)","China (24.8%)",18.0,70.6,74.3
"Sri Lanka",LKA,"South Asia","Sri Jayawardenepura Kotte",22037000.0,348.15,"male 48.0%; female 52.0%",250.00,200.00,92.30,"Sinhala 74.9%; Tamil 18.2%; English 10%","Buddhist 70.2%; Hindu 12.6%; Muslim 9.7%","US (25.1%)","China (22.3%)",23.0,73.6,79.8
"India",IND,"South Asia","New Delhi",1428627663.0,434.60,"male 51.5%; female 48.5%",410.00,320.00,77.70,"Hindi 43.6%; Bengali 8.0%; Marathi 6.9%","Hindu 79.8%; Muslim 14.2%; Christian 2.3%","US (18.1%)","China (14.0%)",10.6,65.8,70.3
"Thailand",THA,"East Asia & Pacific","Bangkok",71800000.0,140.23,"male 48.7%; female 51.3%",600.00,460.00,94.10,"Thai 90.7%; Isan; Kam Mueang","Buddhist 92.5%; Muslim 5.4%; Christian 1.2%","US (16.2%)","China (23.8%)",27.0,74.4,81.0
"Vietnam",VNM,"East Asia & Pacific","Hanoi",98858000.0,317.45,"male 49.8%; female 50.2%",350.00,290.00,95.80,"Vietnamese 85.3%; Tày 1.9%; Thai 1.7%","None/Folk 86.3%; Catholic 6.1%; Buddhist 4.8%","US (29.4%)","China (33.1%)",50.0,69.6,78.4
"Colombia",COL,"Latin America & Caribbean","Bogota",52085000.0,45.64,"male 48.8%; female 51.2%",380.00,320.00,95.60,"Spanish 99.2%","Roman Catholic 73.5%; Protestant 14.2%; none 9.5%","US (26.2%)","US (24.1%)",10.0,73.7,80.0
"Mexico",MEX,"Latin America & Caribbean","Mexico City",128455000.0,65.70,"male 48.8%; female 51.2%",680.00,530.00,95.20,"Spanish 92.7%; Indigenous languages 5.7%","Roman Catholic 77.7%; Protestant 11.2%; none 8.1%","US (78.1%)","US (43.8%)",12.9,72.1,78.1
"Venezuela",VEN,"Latin America & Caribbean","Caracas",28838000.0,32.32,"male 49.5%; female 50.5%",180.00,140.00,97.50,"Spanish 97%","Roman Catholic 71.0%; Protestant 17.0%; none 8.0%","China (38%)","China (32%)",9.0,68.4,76.2
"Brazil",BRA,"Latin America & Caribbean","Brasilia",215313000.0,25.57,"male 48.9%; female 51.1%",610.00,470.00,93.80,"Portuguese 98%","Roman Catholic 50.0%; Protestant 31.0%; none 10.0%","China (26.8%)","China (22.2%)",5.0,72.8,79.3
"Argentina",ARG,"Latin America & Caribbean","Buenos Aires",46044000.0,16.71,"male 48.6%; female 51.4%",520.00,410.00,99.00,"Spanish 98%","Roman Catholic 62.9%; Protestant 15.3%; none 18.9%","Brazil (14.3%)","China (21.4%)",18.0,72.2,78.8
"Uruguay",URY,"Latin America & Caribbean","Montevideo",3423000.0,19.82,"male 48.2%; female 51.8%",985.00,720.00,98.80,"Spanish 98%","Roman Catholic 41.5%; none 38.0%; Protestant 10.0%","China (27.2%)","Brazil (23.4%)",14.0,74.2,81.1
